county,fips,totalpop
Autauga,1,55200
Baldwin,1,208107
Barbour,1,25782
Bibb,1,22527
Blount,1,57645
Bullock,1,10352
Butler,1,20025
Calhoun,1,115098
Chambers,1,33826
Cherokee,1,25853
Chilton,1,43930
Choctaw,1,13075
Clarke,1,24387
Clay,1,13378
Cleburne,1,14938
Coffee,1,51288
Colbert,1,54495
Conecuh,1,12514
Coosa,1,10855
Covington,1,37351
Crenshaw,1,13865
Cullman,1,82313
Dale,1,49255
Dallas,1,40029
DeKalb,1,71200
Elmore,1,81212
Escambia,1,37328
Etowah,1,102939
Fayette,1,16585
Franklin,1,31542
Geneva,1,26491
Greene,1,8426
Hale,1,14887
Henry,1,17124
Houston,1,104352
Jackson,1,52094
Jefferson,1,659892
Lamar,1,13933
Lauderdale,1,92585
Lawrence,1,33171
Lee,1,159287
Limestone,1,93052
Lowndes,1,10236
Macon,1,19054
Madison,1,357560
Marengo,1,19538
Marion,1,29965
Marshall,1,95145
Mobile,1,414659
Monroe,1,21512
Montgomery,1,226941
Morgan,1,119122
Perry,1,9486
Pickens,1,20298
Pike,1,33403
Randolph,1,22574
Russell,1,58213
St. Clair,1,87306
Shelby,1,211261
Sumter,1,12985
Talladega,1,80565
Tallapoosa,1,40636
Tuscaloosa,1,206213
Walker,1,64493
Washington,1,16643
Wilcox,1,10809
Winston,1,23875
Aleutians East Borough,2,3425
Aleutians West Census Area,2,5750
Anchorage Municipality,2,296112
Bethel Census Area,2,18040
Bristol Bay Borough,2,890
Denali Borough,2,2232
Dillingham Census Area,2,4975
Fairbanks North Star Borough,2,99653
Haines Borough,2,2518
Hoonah-Angoon Census Area,2,2132
Juneau City and Borough,2,32330
Kenai Peninsula Borough,2,58220
Ketchikan Gateway Borough,2,13804
Kodiak Island Borough,2,13649
Kusilvak Census Area,2,8198
Lake and Peninsula Borough,2,1375
Matanuska-Susitna Borough,2,103464
Nome Census Area,2,9925
North Slope Borough,2,9797
Northwest Arctic Borough,2,7734
Petersburg Borough,2,3255
Prince of Wales-Hyder Census Area,2,6474
Sitka City and Borough,2,8738
Skagway Municipality,2,1061
Southeast Fairbanks Census Area,2,6876
Valdez-Cordova Census Area,2,9301
Wrangell City and Borough,2,2484
Yakutat City and Borough,2,689
Yukon-Koyukuk Census Area,2,5415
Apache,4,71522
Cochise,4,126279
Coconino,4,140217
Gila,4,53400
Graham,4,37879
Greenlee,4,9504
La Paz,4,20701
Maricopa,4,4253913
Mohave,4,206064
Navajo,4,108705
Pima,4,1019722
Pinal,4,419721
Santa Cruz,4,46584
Yavapai,4,224645
Yuma,4,207829
Arkansas,5,18124
Ashley,5,20537
Baxter,5,41219
Benton,5,258980
Boone,5,37288
Bradley,5,10948
Calhoun,5,5202
Carroll,5,27887
Chicot,5,10826
Clark,5,22385
Clay,5,15061
Cleburne,5,25230
Cleveland,5,8226
Columbia,5,23892
Conway,5,20906
Craighead,5,105701
Crawford,5,62472
Crittenden,5,49013
Cross,5,16998
Dallas,5,7432
Desha,5,11887
Drew,5,18502
Faulkner,5,122416
Franklin,5,17780
Fulton,5,12139
Garland,5,98296
Grant,5,18086
Greene,5,44623
Hempstead,5,22018
Hot Spring,5,33520
Howard,5,13389
Independence,5,37264
Izard,5,13559
Jackson,5,17225
Jefferson,5,70424
Johnson,5,26291
Lafayette,5,6915
Lawrence,5,16669
Lee,5,9398
Lincoln,5,13695
Little River,5,12417
Logan,5,21757
Lonoke,5,72206
Madison,5,16076
Marion,5,16438
Miller,5,43759
Mississippi,5,42831
Monroe,5,7249
Montgomery,5,8993
Nevada,5,8440
Newton,5,7848
Ouachita,5,24106
Perry,5,10322
Phillips,5,19034
Pike,5,10808
Poinsett,5,24054
Polk,5,20163
Pope,5,63644
Prairie,5,8244
Pulaski,5,393463
Randolph,5,17603
St. Francis,5,26294
Saline,5,118009
Scott,5,10442
Searcy,5,7923
Sebastian,5,127461
Sevier,5,17193
Sharp,5,17043
Stone,5,12446
Union,5,39732
Van Buren,5,16684
Washington,5,228529
White,5,78804
Woodruff,5,6660
Yell,5,21573
Alameda,6,1643700
Alpine,6,1146
Amador,6,37829
Butte,6,227075
Calaveras,6,45235
Colusa,6,21464
Contra Costa,6,1133247
Del Norte,6,27424
El Dorado,6,186661
Fresno,6,978130
Glenn,6,27897
Humboldt,6,135768
Imperial,6,180216
Inyo,6,18085
Kern,6,883053
Kings,6,150075
Lake,6,64148
Lassen,6,31185
Los Angeles,6,10098052
Madera,6,155013
Marin,6,260295
Mariposa,6,17540
Mendocino,6,87422
Merced,6,269075
Modoc,6,8938
Mono,6,14174
Monterey,6,433212
Napa,6,140530
Nevada,6,99092
Orange,6,3164182
Placer,6,380077
Plumas,6,18699
Riverside,6,2383286
Sacramento,6,1510023
San Benito,6,59416
San Bernardino,6,2135413
San Diego,6,3302833
San Francisco,6,870044
San Joaquin,6,732212
San Luis Obispo,6,281455
San Mateo,6,765935
Santa Barbara,6,443738
Santa Clara,6,1922200
Santa Cruz,6,273765
Shasta,6,179085
Sierra,6,2930
Siskiyou,6,43540
Solano,6,438530
Sonoma,6,501317
Stanislaus,6,539301
Sutter,6,95872
Tehama,6,63373
Trinity,6,12862
Tulare,6,460477
Tuolumne,6,53932
Ventura,6,848112
Yolo,6,214977
Yuba,6,75493
Adams,8,497115
Alamosa,8,16444
Arapahoe,8,636671
Archuleta,8,12908
Baca,8,3563
Bent,8,5809
Boulder,8,321030
Broomfield,8,66120
Chaffee,8,19164
Cheyenne,8,2039
Clear Creek,8,9379
Conejos,8,8142
Costilla,8,3687
